Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
JPH1		7	7	1035	0.7%	No
GOT1L1		3	2	122	1.6%	No
TICAM1		6	6	911	0.7%	No
SHE		8	8	1116	0.7%	No
LOXHD1		25	19	1554	1.2%	No
TDRD10		4	4	877	0.5%	No
TRMT44		6	6	1048	0.6%	No
SLC51A		1	1	180	0.6%	No
FBXO45		2	2	312	0.6%	No
CCDC163		1	1	239	0.4%	No
RETN		1	1	216	0.5%	No
OR10A4		3	2	629	0.3%	No
ZNF786		11	11	1554	0.7%	No
PTPDC1		9	9	1004	0.9%	No
ESPL1		33	30	1511	2.0%	No
PPP6R2		4	4	541	0.7%	No
VSIG8		5	5	809	0.6%	No
KLHDC8B		5	5	1084	0.5%	No
SLC2A4RG		4	3	819	0.4%	No
RUBCN		11	10	1184	0.8%	No
USP6NL		3	3	312	1.0%	No
GABRR3		1	1	190	0.5%	No
GLOD5		1	1	216	0.5%	No
GARRE1		7	7	831	0.8%	No
MUC20		10	10	1116	0.9%	No
PRAMEF6		3	3	609	0.5%	No
TTC14		15	15	1454	1.0%	No
DHX34		10	8	1481	0.5%	No
C4ORF45		2	1	122	0.8%	No
ST18		27	25	1454	1.7%	No
CEP57		3	3	773	0.4%	No
BLTP2		17	14	1584	0.9%	No
PCDHGA8		10	10	947	1.1%	No
HERPUD1		1	1	190	0.5%	Yes
ULK2		9	9	1332	0.7%	No
NOS1AP		3	3	746	0.4%	No
SEMA3E		6	5	1274	0.4%	No
CCDC144A		21	19	1497	1.3%	No
GPRIN2		16	16	1519	1.1%	No
NOXO1		1	1	122	0.8%	No
OR10K2		4	4	592	0.7%	No
DOCK8		15	15	1554	1.0%	No
OR10K1		6	6	945	0.6%	No
NCBP3		2	2	429	0.5%	No
GPALPP1		2	2	746	0.3%	No
SIRPG		12	10	1454	0.7%	No
BARHL1		3	3	179	1.7%	No
ZNF331		3	3	316	0.9%	Yes
FAM131B		6	6	1332	0.5%	No
AQR		13	13	1546	0.8%	No
ADAMTSL2		2	2	723	0.3%	No
SEC14L5		5	4	845	0.5%	No
ECE2		10	9	629	1.4%	No
DCAF1		13	13	1484	0.9%	No
SLC25A11		1	1	100	1.0%	No
SART3		6	6	1035	0.6%	No
HDAC9		21	17	1275	1.3%	No
SOX14		8	8	1035	0.8%	No
CEP104		11	11	1238	0.9%	No
DOCK4		18	18	1454	1.2%	No
OR6K3		4	4	526	0.8%	No
SPATA33		1	1	239	0.4%	No
SPATA2L		2	2	281	0.7%	No
YOD1		1	1	239	0.4%	No
RIPK4		5	5	845	0.6%	No
ADA		4	4	629	0.6%	No
ADAM8		5	5	179	2.8%	No
ADAM10		9	9	1238	0.7%	No
ZYG11A		2	2	687	0.3%	No
DTX3L		5	3	438	0.7%	No
ADAR		6	6	1010	0.6%	No
ADARB1		7	7	1454	0.5%	No
AP1AR		2	2	316	0.6%	No
ADARB2		9	8	438	1.8%	No
GSAP		9	9	1331	0.7%	No
CLIC6		7	7	888	0.8%	No
ZNF646		13	11	1182	0.9%	No
ADCY1		14	13	1339	1.0%	No
ADCY2		18	18	1169	1.5%	No
RAB11FIP3		3	3	823	0.4%	No
CHRAC1		2	2	122	1.6%	No
UTP14C		4	4	729	0.5%	No
ADCY3		10	10	1304	0.8%	No
POLE3		2	2	697	0.3%	No
TMEM63A		4	3	402	0.7%	No
STRADB		1	1	100	1.0%	No
TLR9		4	3	697	0.4%	No
SECISBP2L		10	8	731	1.1%	No
KIAA0408		7	7	1264	0.6%	No
HORMAD2		3	3	400	0.8%	No
ZCCHC18		4	4	845	0.5%	No
ACAP1		3	3	222	1.4%	No
ZNF536		33	28	1676	1.7%	No
ANKRD65		2	2	180	1.1%	No
EEA1		12	12	1511	0.8%	No
IFT140		9	9	968	0.9%	No
BCAR3		6	6	809	0.7%	No
ARHGAP32		12	12	1338	0.9%	No
OR13C2		5	5	868	0.6%	No
PSG8		10	9	1238	0.7%	No
TARM1		1	1	122	0.8%	No
FAM78B		2	2	429	0.5%	No
ADCY5		16	11	1338	0.8%	No
ADCY6		10	9	1025	0.9%	No
ADCY7		9	9	1084	0.8%	No
ADCY8		20	15	1554	1.0%	No
ADCY9		19	18	1619	1.1%	No
ADCYAP1		1	1	122	0.8%	No
ADCYAP1R1		6	4	809	0.5%	No
ADD1		7	7	1116	0.6%	No
GPRASP1		17	14	1519	0.9%	No
SRPX		5	5	945	0.5%	No
ADD2		13	11	1295	0.8%	No
TAGLN2		2	2	697	0.3%	No
CCP110		4	4	845	0.5%	No
SPARCL1		12	12	1519	0.8%	No
KNTC1		19	17	1519	1.1%	No
CCDC117		1	1	216	0.5%	No
SPOP		27	24	2269	1.1%	Yes
USP34		40	40	1676	2.4%	No
HSCB		2	2	57	3.5%	No
ULK1		12	12	1389	0.9%	No
SETD1A		18	18	726	2.5%	Yes
UXT		1	1	122	0.8%	No
SNPH		4	4	406	1.0%	No
PCDHA9		9	9	1084	0.8%	No
RIPOR2		15	15	1519	1.0%	No
BBOX1		4	4	555	0.7%	No
TBKBP1		9	9	951	0.9%	No
LTBP4		21	19	1454	1.3%	No
ZSCAN12		11	11	1273	0.9%	No
TDRD5		9	9	1035	0.9%	No
STARD8		13	11	1338	0.8%	No
FRRS1		9	9	1332	0.7%	No
ADD3		4	4	877	0.5%	No
TOR1AIP2		3	3	629	0.5%	No
PLIN2		9	8	1519	0.5%	No
ADH1A		7	6	1215	0.5%	No
ADH1B		1	1	100	1.0%	No
ADH1C		2	2	216	0.9%	No
ADH4		2	2	216	0.9%	No
ADH5		5	5	609	0.8%	No
STX7		1	1	100	1.0%	No
SLK		13	10	1152	0.9%	No
PHACTR2		16	15	1432	1.0%	No
CLSTN3		7	7	1184	0.6%	No
TCAF1		4	4	1116	0.4%	No
OR5C1		2	2	338	0.6%	No
BFSP2		2	2	122	1.6%	No
OR1L6		6	6	1048	0.6%	No
LZTS3		5	5	342	1.5%	No
NR0B2		2	2	507	0.4%	No
NR2E1		8	8	1215	0.7%	No
TOX		5	5	1142	0.4%	No
TLR5		9	7	1149	0.6%	No
MLEC		1	1	507	0.2%	No
MBOAT4		3	3	507	0.6%	No
SOAT2		7	7	731	1.0%	No
SUSD6		2	2	687	0.3%	No
GCNT2P1		3	3	252	1.2%	No
TSPAN8		1	1	190	0.5%	No
CAVIN2		7	7	825	0.8%	No
JADE3		6	6	1184	0.5%	No
TSPAN7		1	1	507	0.2%	No
KIAA0513		6	6	773	0.8%	No
ZFYVE16		11	9	880	1.0%	No
RECK		3	3	312	1.0%	No
TM4SF4		2	2	152	1.3%	No
ADH6		2	2	687	0.3%	No
ADH7		5	4	868	0.5%	No
ADK		5	5	1169	0.4%	No
PRAMEF11		3	3	507	0.6%	No
ADORA1		6	6	1238	0.5%	No
ADORA2A		2	2	149	1.3%	No
ADORA2B		3	3	506	0.6%	No
STK24		6	6	831	0.7%	No
HDAC4		13	12	1454	0.8%	Yes
KMT2B		39	36	1960	1.8%	Yes
C22ORF42		2	2	281	0.7%	No
FRMPD4		34	28	1581	1.8%	No
ZNF282		2	2	746	0.3%	No
TMF1		4	4	541	0.7%	No
GNPAT		7	7	1216	0.6%	No
BCLAF1		10	9	1295	0.7%	No
TMPO		13	12	1112	1.1%	No
RAPGEF5		10	9	1047	0.9%	No
NCK2		1	1	507	0.2%	No
TMEM94		14	14	1584	0.9%	No
TMOD1		3	3	868	0.3%	No
DUSP11		4	4	402	1.0%	No
KIAA0232		19	19	1454	1.3%	No
TMPRSS2		6	6	796	0.8%	Yes
EIF4A3		7	7	1332	0.5%	No
DYRK3		4	3	868	0.3%	No
DYRK2		7	7	1554	0.5%	No
ATG13		5	5	1048	0.5%	No
ADORA3		11	10	1158	0.9%	No
RASSF2		4	4	845	0.5%	No
ADPRH		5	5	819	0.6%	No
PRAMEF7		1	1	507	0.2%	No
PARP1		30	30	2316	1.3%	Yes
PARP4		20	19	1619	1.2%	No
ANKFN1		12	11	861	1.3%	No
ADRA1D		4	4	338	1.2%	No
ADRA1B		3	3	629	0.5%	No
ADRA1A		9	9	1484	0.6%	No
GPR137B		7	7	1238	0.6%	No
NSMAF		4	4	723	0.6%	No
TRAPPC10		12	12	1135	1.1%	No
RASAL1		4	3	629	0.5%	No
RAD54L		13	12	1959	0.6%	Yes
TM7SF2		1	1	190	0.5%	No
CUL2		6	6	831	0.7%	No
SNX17		4	4	767	0.5%	No
CUL1		8	8	1119	0.7%	No
DHX38		7	7	1084	0.6%	No
CUL4A		6	6	825	0.7%	Yes
MATR3		3	3	222	1.4%	No
CLEC3B		1	1	239	0.4%	No
CUL3		18	18	2329	0.8%	Yes
CLDN5		3	3	868	0.3%	No
RIMS3		1	1	507	0.2%	No
MTSS1		7	7	1181	0.6%	No
TNNC2		3	3	723	0.4%	No
TTF2		9	9	945	1.0%	No
SPCS2		1	1	100	1.0%	No
TNF		1	1	216	0.5%	No
TNFAIP2		6	6	1264	0.5%	No
ATRN		15	15	1238	1.2%	No
KIAA0586		12	12	1242	1.0%	No
TNFAIP1		3	3	302	1.0%	No
FOXN1		4	4	1116	0.4%	No
DLGAP5		8	7	734	1.0%	No
RASGEF1A		1	1	239	0.4%	Yes
PIEZO1		19	18	1584	1.1%	No
ADRA2A		1	1	100	1.0%	No
CUL4B		21	21	1554	1.4%	No
ADRA2B		6	6	1084	0.6%	No
RNF144A		5	5	970	0.5%	No
ADRA2C		7	6	731	0.8%	No
ADRB1		1	1	216	0.5%	No
ADRB3		1	1	216	0.5%	No
GRK2		11	11	1331	0.8%	No
GRK3		7	7	1065	0.7%	No
ADSL		8	8	1005	0.8%	No
ADSS2		7	7	609	1.1%	No
DOC2A		3	2	697	0.3%	No
TBC1D5		7	7	1100	0.6%	No
DHX16		7	7	845	0.8%	No
SUPT3H		10	10	1012	1.0%	No
TNFRSF1A		2	2	629	0.3%	No
PHYHIP		1	1	507	0.2%	No
KLF11		4	4	809	0.5%	No
CKAP5		24	24	1511	1.6%	No
TNNC1		2	2	152	1.3%	No
TNFRSF1B		2	2	338	0.6%	No
MAML1		3	3	723	0.4%	No
TEAD2		2	2	629	0.3%	No
FKBP6		2	2	723	0.3%	No
TNNI2		3	3	122	2.5%	No
TNNI1		2	2	312	0.6%	No
TATDN2		5	4	635	0.6%	No
TNNT1		3	3	564	0.5%	No
TNNI3		4	4	877	0.5%	No
SMARCA5		10	9	1272	0.7%	No
FMN1		11	10	1554	0.6%	No
IST1		2	2	122	1.6%	No
AP2A1		14	13	1454	0.9%	No
TPST1		7	7	1281	0.5%	No
AP2A2		11	11	1162	0.9%	No
PTDSS1		3	3	913	0.3%	No
AP1B1		10	10	1238	0.8%	No
SERTAD2		1	1	507	0.2%	No
AP2B1		5	5	459	1.1%	No
TNFAIP6		8	8	1332	0.6%	No
BMS1		12	12	1431	0.8%	No
AP1G1		4	4	978	0.4%	No
AEBP1		12	12	1238	1.0%	No
CRISP1		2	2	338	0.6%	No
TNFAIP3		7	7	1720	0.4%	Yes
TPST2		5	5	1238	0.4%	No
TNR		21	21	1676	1.3%	No
CDC42BPA		19	18	1280	1.4%	No
OR1K1		4	4	845	0.5%	No
TNS1		12	12	1280	0.9%	No
OGT		13	12	1200	1.0%	No
ZNF724		5	5	686	0.7%	No
HIRIP3		4	4	675	0.6%	No
LCN9		4	3	412	0.7%	No
GPR65		3	3	243	1.2%	No
ZNF506		3	3	723	0.4%	No
TNXB		34	24	1554	1.5%	No
IRS4		20	19	1581	1.2%	Yes
AFM		7	7	1013	0.7%	No
AFP		3	3	729	0.4%	No
TNP1		1	1	507	0.2%	No
TNNT3		8	8	1274	0.6%	No
SORBS2		8	8	1065	0.8%	No
AGA		1	1	216	0.5%	No
ACAN		20	17	1511	1.1%	No
AGER		2	2	122	1.6%	No
AGL		7	7	945	0.7%	No
C10ORF55		1	1	216	0.5%	No
TNNT2		4	4	314	1.3%	No
DIP2C-AS1		1	1	30	3.3%	No
TOP2A		11	8	1511	0.5%	No
NTMT2		6	6	1116	0.5%	No
GEMIN2		1	1	190	0.5%	No
TOP3A		14	11	1454	0.8%	No
GALR3		1	1	122	0.8%	No
TOP2B		12	11	634	1.7%	No
TP53BP1		38	36	2079	1.7%	Yes
TP53		797	745	2891	25.8%	Yes
PLIN5		4	4	708	0.6%	No
TP53BP2		14	12	1165	1.0%	No
AGRP		1	1	216	0.5%	No
JAG1		12	10	1238	0.8%	No
AGT		12	12	1454	0.8%	No
TOP1		15	15	2307	0.7%	Yes
SEMA7A		9	8	1184	0.7%	No
CILP		15	13	1033	1.3%	No
AGTR1		10	7	742	0.9%	No
RAE1		3	3	507	0.6%	No
AGTR2		7	7	1219	0.6%	No
OFD1		9	9	1035	0.9%	No
APLNR		5	5	913	0.5%	Yes
AGXT		1	1	507	0.2%	No
GORAB		7	7	1173	0.6%	No
PPFIA4		8	8	1200	0.7%	No
TPD52L2		1	1	239	0.4%	No
RANBP3		6	6	1332	0.5%	No
NAF1		7	7	1047	0.7%	No
TPD52L1		1	1	507	0.2%	No
PPFIBP2		9	6	587	1.0%	No
METTL18		11	10	947	1.1%	No
TPI1		5	5	845	0.6%	No
PPFIBP1		6	6	635	0.9%	Yes
TPH1		4	4	222	1.8%	No
CERS5		2	2	290	0.7%	No
TPM2		7	7	1462	0.5%	No
TPM1		6	6	780	0.8%	No
PPFIA2		17	12	1454	0.8%	No
C1ORF105		1	1	216	0.5%	No
NR0B1		4	4	528	0.8%	No
AHCY		5	5	1332	0.4%	No
RGS5		1	1	507	0.2%	No
SPDYE1		1	1	507	0.2%	No
BCL2L14		3	3	492	0.6%	No
PRR29		3	2	361	0.6%	No
PPM1D		4	4	647	0.6%	Yes
TP73		1	1	507	0.2%	No
FMNL3		15	13	1554	0.8%	No
AHR		3	3	823	0.4%	No
MAP4K3		6	6	438	1.4%	No
TPD52		3	3	913	0.3%	No
AHSG		1	1	180	0.6%	No
PRSS12		7	7	1454	0.5%	No
TPBG		3	3	577	0.5%	No
CEACAM18		7	7	962	0.7%	No
ANKRD34A		4	4	629	0.6%	No
CYB561D1		3	3	222	1.4%	No
SYPL2		6	6	1280	0.5%	No
OR5V1		4	4	338	1.2%	No
EEIG2		8	8	1454	0.6%	No
OR2B2		4	4	868	0.5%	No
AMN		2	2	419	0.5%	No
TPR		33	30	1676	1.8%	Yes
CADPS2		15	15	1554	1.0%	No
TPT1		4	4	825	0.5%	No
ARHGAP18		6	6	1432	0.4%	No
TPSAB1		8	8	609	1.3%	No
TPTE		10	10	1332	0.8%	No
STRADA		9	9	1454	0.6%	No
BARHL2		3	3	406	0.7%	No
REEP3		1	1	122	0.8%	No
JMJD1C		17	17	1497	1.1%	No
TCAF2		4	4	877	0.5%	No
TPM3		3	3	723	0.4%	Yes
SKIC8		3	3	609	0.5%	No
TPMT		3	3	370	0.8%	No
CAPZA3		1	1	100	1.0%	No
TPM4		3	2	429	0.5%	Yes
ZBTB42		2	2	746	0.3%	No
TSPEAR		10	10	1238	0.8%	No
ZXDC		5	4	1093	0.4%	No
TPP2		11	11	1249	0.9%	No
CPLANE2		6	6	1454	0.4%	No
TPO		14	13	902	1.4%	No
HMGN5		5	5	845	0.6%	No
C6ORF62		3	3	697	0.4%	No
BHLHE41		2	2	629	0.3%	No
FCRL2		7	7	1268	0.6%	No
RNF39		1	1	122	0.8%	No
B3GNT4		4	4	607	0.7%	No
UCMA		2	2	187	1.1%	No
EGFLAM-AS1		1	1	180	0.6%	No
TNKS2		10	10	1554	0.6%	No
LPAL2		2	2	180	1.1%	No
TRAF3		5	5	1058	0.5%	Yes
TRAF2		6	6	864	0.7%	Yes
TRAF6		7	7	1149	0.6%	No
TRAF5		2	2	429	0.5%	Yes
DPP9		6	6	977	0.6%	No
ZNF774		5	5	786	0.6%	No
ATG9B		5	5	518	1.0%	No
SPSB4		2	1	216	0.5%	No
SETD4		3	3	190	1.6%	Yes
NR2C1		3	2	122	1.6%	No
CRISP2		3	3	361	0.8%	No
NR2C2		4	4	845	0.5%	No
STAC3		5	4	628	0.6%	No
TRAF1		5	5	819	0.6%	No
HSP90B1		5	5	391	1.3%	No
PELI3		8	8	1338	0.6%	No
SLC39A12		17	16	1619	1.0%	No
TMC3		16	15	1331	1.1%	No
PDCD1LG2		1	1	216	0.5%	Yes
CD276		12	12	2329	0.5%	Yes
ZNF860		4	4	645	0.6%	No
PRSS56		2	2	122	1.6%	No
CRB3		1	1	507	0.2%	No
KCNT2		26	25	1511	1.7%	No
HRCT1		2	2	507	0.4%	No
BEND7		4	4	629	0.6%	No
ZNF789		5	4	436	0.9%	No
FAM171A1		19	17	1611	1.1%	No
KRTAP2-3		2	2	419	0.5%	No
CCDC34		7	7	1274	0.5%	No
AP5B1		10	9	1264	0.7%	No
CCDC149		2	2	312	0.6%	No
CATSPERE		18	17	1576	1.1%	No
HNRNPUL2		4	4	585	0.7%	No
EPHA10		5	3	629	0.5%	No
RSPO1		3	3	312	1.0%	No
CTHRC1		2	2	338	0.6%	No
ARL5B		4	4	609	0.7%	No
PXYLP1		8	8	731	1.1%	No
NSUN6		2	2	629	0.3%	No
CD163L1		24	23	1554	1.5%	No
OTOGL		23	22	1272	1.7%	No
GPR149		9	6	966	0.6%	No
AADACL2		4	4	845	0.5%	No
ZNF878		8	8	1554	0.5%	No
ANKRD30A		21	19	1279	1.5%	No
FRMD3		10	10	1697	0.6%	No
FCRL6		10	10	862	1.2%	No
MRRF		1	1	100	1.0%	No
LINC02860		3	3	845	0.4%	No
OR10R2		6	6	1454	0.4%	No
MYL12B		1	1	507	0.2%	No
OCLN		3	3	551	0.5%	No
ST6GALNAC5		1	1	239	0.4%	No
MDM1		6	6	1135	0.5%	No
LGALS14		2	2	507	0.4%	No
SBF2		17	17	1649	1.0%	No
RNF146		2	2	338	0.6%	No
SPRY4		1	1	190	0.5%	No
DPYSL5		10	10	1519	0.7%	No
WRNIP1		6	6	1215	0.5%	No
TMEM14B		2	2	312	0.6%	No
BDH2		1	1	100	1.0%	No
CDC42BPG		10	10	1345	0.7%	No
ANKS1B		20	15	1554	1.0%	No
SFXN3		1	1	190	0.5%	No
GALNT10		9	9	1173	0.8%	No
DNAH3		35	35	1439	2.4%	No
UBQLN4		6	6	845	0.7%	No
OR10AD1		2	2	629	0.3%	No
TPH2		7	7	1519	0.5%	No
AGPAT3		2	2	507	0.4%	No
AGPAT4		8	8	825	1.0%	No
ZNF821		5	5	962	0.5%	No
KRTAP1-1		2	2	723	0.3%	No
ZSCAN5C		5	5	809	0.6%	No
VANGL1		9	9	1432	0.6%	No
ZNF641		3	2	222	0.9%	No
CNOT11		1	1	507	0.2%	No
SERPINA12		2	2	687	0.3%	No
GSC		1	1	216	0.5%	No
RHEBL1		2	2	723	0.3%	No
CDV3		2	2	746	0.3%	No
FOXRED1		1	1	216	0.5%	No
TRIM56		4	4	629	0.6%	No
SUPT20H		10	10	974	1.0%	No
NAGK		7	7	1332	0.5%	No
STAB2		56	53	1970	2.7%	No
TRIM73		2	2	419	0.5%	No
SPECC1		7	7	1043	0.7%	No
FBXW10B		7	6	999	0.6%	No
SLC15A4		5	5	1035	0.5%	No
KIF27		13	13	1619	0.8%	No
MIOX		1	1	216	0.5%	No
ISG20L2		6	6	1084	0.6%	No
UBE2Q1		5	5	780	0.6%	No
RAB1B		2	2	396	0.5%	No
CHRNA9		1	1	190	0.5%	No
KRTAP9-9		3	3	926	0.3%	No
BMP2K		18	18	1432	1.3%	No
KRTAP4-6		2	2	697	0.3%	No
TMEM132D		22	18	1554	1.2%	No
MED29		1	1	122	0.8%	No
PTCRA		2	2	629	0.3%	No
ARPC5L		2	2	419	0.5%	No
ILDR2		4	4	412	1.0%	No
NDUFS7		2	2	723	0.3%	No
GPR180		3	3	609	0.5%	No
MIPOL1		5	5	825	0.6%	No
ZNF611		9	9	1519	0.6%	No
OTUD5		3	3	528	0.6%	No
DIPK2A		2	2	281	0.7%	No
MED25		10	9	1272	0.7%	No
VEZT		11	10	1611	0.6%	No
SHARPIN		5	5	825	0.6%	No
OR2A4		4	4	609	0.7%	No
ZCCHC8		5	5	925	0.5%	No
OR4K1		2	1	180	0.6%	No
RNPC3		3	3	926	0.3%	No
ZXDB		7	7	609	1.1%	No
FAAH2		4	4	731	0.5%	No
FMR1NB		10	10	1238	0.8%	No
C5ORF24		4	3	290	1.0%	No
TMEM270		3	3	877	0.3%	No
KASH5		7	7	1116	0.6%	No
GCC1		8	8	1238	0.6%	No
FAHD1		2	2	339	0.6%	No
NKAIN1		2	2	187	1.1%	No
ZNF785		1	1	122	0.8%	No
TTC13		2	2	216	0.9%	No
ATP13A3		7	6	1274	0.5%	No
ABHD8		1	1	507	0.2%	No
EPS8L3		3	3	903	0.3%	No
CDC73		12	12	1606	0.7%	Yes
NKAP		6	6	1274	0.5%	No
SLIRP		1	1	122	0.8%	No
SLC25A28		2	2	629	0.3%	No
QTRT1		3	3	396	0.8%	No
TRIM50		3	3	819	0.4%	No
CSAG1		1	1	507	0.2%	No
LAS1L		11	10	1554	0.6%	No
ZNF688		6	6	1238	0.5%	No
HYI		1	1	122	0.8%	No
MAIP1		6	6	1332	0.5%	No
RIPOR1		11	6	1116	0.5%	No
PRSS36		8	8	902	0.9%	No
FANK1		4	4	962	0.4%	No
ARMH3		5	5	1116	0.4%	No
ST8SIA6		7	6	1084	0.6%	No
MRPL24		2	2	419	0.5%	No
DUSP29		3	3	697	0.4%	No
DNAAF8		4	4	723	0.6%	No
SAP130		9	9	1025	0.9%	No
TMEM64		2	2	629	0.3%	No
C16ORF89		5	5	875	0.6%	No
GPR75-ASB3		1	1	30	3.3%	No
OBI1		10	10	1432	0.7%	No
CEP97		5	5	1084	0.5%	No
RDH12		5	5	1035	0.5%	No
ATXN3L		6	4	868	0.5%	No
DGKH		8	8	1034	0.8%	No
BICDL1		6	6	767	0.8%	No
GGTLC2		1	1	190	0.5%	No
SPAG16		8	8	1362	0.6%	No
SLC52A2		9	8	1484	0.5%	No
CHPF		5	5	1264	0.4%	No
CORO7		12	12	1360	0.9%	No
CARS2		4	4	968	0.4%	No
RNF128		3	3	903	0.3%	No
MALRD1		15	14	665	2.1%	No
SRRM5		3	3	723	0.4%	No
PCSK9		6	6	794	0.8%	No
GADL1		5	5	794	0.6%	No
KCNK18		12	12	1511	0.8%	No
NPNT		9	9	1119	0.8%	No
ZC3HAV1		12	12	1454	0.8%	No
APRG1		1	1	507	0.2%	No
GDF5-AS1		2	2	419	0.5%	No
FBXO48		1	1	190	0.5%	No
FFAR4		5	4	677	0.6%	No
IFNK		1	1	507	0.2%	No
SLAMF8		1	1	216	0.5%	No
CHST12		3	3	338	0.9%	No
ETNK1		1	1	507	0.2%	Yes
MACROH2A2		5	5	1116	0.4%	No
NOP10		3	3	609	0.5%	No
TNFRSF19		2	2	746	0.3%	No
TRPV6		10	10	1454	0.7%	No
GPR137		2	2	338	0.6%	No
BATF3		1	1	122	0.8%	No
SLC35E3		1	1	507	0.2%	No
GPRC5D		1	1	30	3.3%	No
RNF40		11	11	1295	0.8%	No
CTIF		7	7	1150	0.6%	No
SMPD3		2	2	607	0.3%	No
SAGE1		16	16	1619	1.0%	No
DDX43		6	4	845	0.5%	No
TOMM20		1	1	216	0.5%	No
ASIC4		3	3	868	0.3%	No
DAZAP2		1	1	216	0.5%	No
IP6K1		6	6	418	1.4%	No
KIAA0087		1	1	239	0.4%	No
OR52B2		6	6	1215	0.5%	No
SPHK2		8	8	1274	0.6%	No
SPOCK2		2	2	57	3.5%	No
RB1CC1		14	13	1374	0.9%	No
CUL7		19	18	1125	1.6%	No
RAD18		8	8	1116	0.7%	No
ELAC1		2	2	338	0.6%	No
CELF4		7	7	1148	0.6%	No
GRIPAP1		6	6	1035	0.6%	No
EMC7		5	5	731	0.7%	No
TRIM36		3	3	471	0.6%	No
SFI1		14	14	1554	0.9%	No
GIT2		5	5	825	0.6%	No
FEM1A		2	2	57	3.5%	No
MYZAP		1	1	216	0.5%	No
DELE1		5	4	1025	0.4%	No
DHTKD1		9	9	1082	0.8%	No
EFCAB14		2	2	629	0.3%	No
NUP58		11	11	1116	1.0%	No
TSC22D2		2	2	629	0.3%	No
URB2		12	12	1047	1.1%	No
PRAG1		8	8	1332	0.6%	No
KEAP1		22	20	1973	1.0%	Yes
PIP4P2		5	5	831	0.6%	No
JAKMIP2		10	8	1315	0.6%	No
PKP4		8	8	1025	0.8%	No
MELK		3	3	962	0.3%	No
TRIM14		4	4	629	0.6%	No
PPFIA1		7	6	729	0.8%	No
ZNF623		3	2	723	0.3%	No
KY		6	6	495	1.2%	No
ELMOD1		6	6	1035	0.6%	No
SVOP		4	4	609	0.7%	No
CRYBG1		31	29	1584	1.8%	No
MAML3		9	8	1274	0.6%	No
AK1		1	1	190	0.5%	No
INAFM1		1	1	122	0.8%	No
AK2		1	1	507	0.2%	No
AK4		3	3	903	0.3%	No
SLC30A10		10	10	1454	0.7%	No
POLR3H		1	1	65	1.5%	No
SPATA2		2	2	746	0.3%	No
AKT1		116	115	2653	4.3%	Yes
ARHGEF11		14	13	1439	0.9%	No
KCNK10		6	6	338	1.8%	No
ARMCX2		16	10	1432	0.7%	No
AKT2		10	9	1811	0.5%	Yes
ERRFI1		5	5	897	0.6%	Yes
ARHGAP11A		9	8	903	0.9%	No
CDCA7L		8	8	945	0.8%	No
DNAJC6		15	15	1554	1.0%	No
ERCC6-PGBD3		3	3	388	0.8%	No
RGP1		3	3	429	0.7%	No
ADCY4		12	12	1169	1.0%	No
ARHGEF17		16	13	1092	1.2%	No
TESPA1		6	5	1025	0.5%	No
HEPH		16	13	1454	0.9%	No
LIPF		5	5	731	0.7%	No
ELMO1		10	10	1519	0.7%	No
ZBTB24		10	10	1158	0.9%	No
PLEKHM1		6	6	1274	0.5%	No
IHO1		2	2	396	0.5%	No
NETO2		3	3	157	1.9%	No
TREM1		4	4	694	0.6%	No
ALAS1		5	3	518	0.6%	No
NETO1		8	8	1181	0.7%	No
IL17RB		3	3	507	0.6%	No
SPACA1		7	7	1171	0.6%	No
ALAS2		5	3	629	0.5%	No
ALB		1	1	190	0.5%	Yes
ALCAM		7	6	1111	0.5%	No
ABCD1		10	10	1454	0.7%	No
SNTG1		12	12	1554	0.8%	No
ALDH1A1		7	7	884	0.8%	No
LCMT2		18	15	1454	1.0%	No
ZCCHC12		10	8	868	0.9%	No
ALDH2		4	4	528	0.8%	Yes
PARG		2	2	406	0.5%	No
CNTNAP1		14	13	1395	0.9%	No
ALDH3A1		4	4	628	0.6%	No
GINS1		4	4	179	2.2%	No
PIK3R3		16	14	2259	0.6%	Yes
ALDH1B1		5	5	686	0.7%	No
PEX3		3	3	564	0.5%	No
SLC41A1		5	5	898	0.6%	No
NDST2		3	3	338	0.9%	No
PROSER2		4	4	1048	0.4%	No
ENC1		4	4	1116	0.4%	No
DYNLT2B		1	1	216	0.5%	No
ZEB2		18	17	1200	1.4%	No
KIAA0753		5	4	1025	0.4%	No
HAT1		4	4	1001	0.4%	No
C2CD2L		4	3	519	0.6%	No
FARP2		12	12	1454	0.8%	No
GCM1		7	6	585	1.0%	No
EPM2AIP1		7	6	1035	0.6%	No
ZNF596		1	1	216	0.5%	No
GAS7		7	7	1238	0.6%	Yes
RUSC2		8	8	1190	0.7%	No
ALDH1A3		9	8	1125	0.7%	No
SOX6		10	9	1303	0.7%	No
SNTG2		6	6	999	0.6%	No
ZNF823		13	11	1389	0.8%	No
UGGT1		18	18	1519	1.2%	No
ALDH3B1		5	5	913	0.5%	No
ALDH3B2		5	5	1048	0.5%	No
AKR1C8		2	2	687	0.3%	No
ALDH9A1		3	3	845	0.4%	No
ABCD2		11	11	1511	0.7%	No
ENOSF1		4	4	895	0.4%	No
OR4F5		1	1	507	0.2%	No
